Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Club,0,0,NoSD,F31,Adults,Female,CP,1/22/2011,1/23/2012,397g,,FieldF31AdultsFemaleClub,FieldClubF31,FieldClubF31AdultsFemale
Field,Club,0,0,NoSD,F31,Adults,Male,CP,1/22/2011,1/23/2012,397g,,FieldF31AdultsMaleClub,FieldClubF31,FieldClubF31AdultsMale
Field,Club,0,0,NoSD,F31,M35,Female,CP,6/18/2004,8/18/2013,397g,,FieldF31M35FemaleClub,FieldClubF31,FieldClubF31M35Female
Field,Club,0,0,NoSD,F31,M35,Male,CP,6/18/2004,8/18/2013,397g,,FieldF31M35MaleClub,FieldClubF31,FieldClubF31M35Male
Field,Club,0,0,NoSD,F31,M50,Female,CP,6/18/2004,8/18/2013,397g,,FieldF31M50FemaleClub,FieldClubF31,FieldClubF31M50Female
Field,Club,0,0,NoSD,F31,M50,Male,CP,6/18/2004,8/18/2013,397g,,FieldF31M50MaleClub,FieldClubF31,FieldClubF31M50Male
Field,Club,0,0,NoSD,F31,M60,Female,CP,6/18/2004,8/18/2013,397g,,FieldF31M60FemaleClub,FieldClubF31,FieldClubF31M60Female
Field,Club,0,0,NoSD,F31,M60,Male,CP,6/18/2004,8/18/2013,397g,,FieldF31M60MaleClub,FieldClubF31,FieldClubF31M60Male
Field,Club,1.92,1.83,,F31,U11,Female,CP,6/18/2004,1/23/2014,397g,,FieldF31U11FemaleClub,FieldClubF31,FieldClubF31U11Female
Field,Club,4.08,3.87,,F31,U11,Male,CP,1/22/2011,1/23/2014,397g,,FieldF31U11MaleClub,FieldClubF31,FieldClubF31U11Male
Field,Club,2.1,2,,F31,U14,Female,CP,1/22/2011,1/23/2014,397g,,FieldF31U14FemaleClub,FieldClubF31,FieldClubF31U14Female
Field,Club,4.45,4.23,,F31,U14,Male,CP,1/22/2011,1/23/2014,397g,,FieldF31U14MaleClub,FieldClubF31,FieldClubF31U14Male
Field,Club,2.27,2.16,,F31,U17,Female,CP,12/6/2011,1/7/2019,397g,,FieldF31U17FemaleClub,FieldClubF31,FieldClubF31U17Female
Field,Club,4.81,4.57,,F31,U17,Male,CP,1/22/2011,1/7/2019,397g,,FieldF31U17MaleClub,FieldClubF31,FieldClubF31U17Male
Field,Club,2.63,2.49,,F31,U20,Female,CP,1/22/2011,1/23/2014,397g,,FieldF31U20FemaleClub,FieldClubF31,FieldClubF31U20Female
Field,Club,5.56,5.28,,F31,U20,Male,CP,1/22/2011,1/23/2014,397g,,FieldF31U20MaleClub,FieldClubF31,FieldClubF31U20Male
Field,Club,2.8,2.66,,F31,U23,Female,CP,1/22/2011,1/23/2014,397g,,FieldF31U23FemaleClub,FieldClubF31,FieldClubF31U23Female
Field,Club,5.93,5.63,,F31,U23,Male,CP,1/22/2011,1/23/2014,397g,,FieldF31U23MaleClub,FieldClubF31,FieldClubF31U23Male
Field,Club,3.25,3.08,,F32,Adults,Female,CP,6/18/2004,1/23/2012,397g,,FieldF32AdultsFemaleClub,FieldClubF32,FieldClubF32AdultsFemale
Field,Club,4.13,3.92,,F32,Adults,Male,CP,6/18/2004,1/23/2012,397g,,FieldF32AdultsMaleClub,FieldClubF32,FieldClubF32AdultsMale
