Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Event_Group,C_Event,ID
Track,800 Meters,03:25.0,03:35.0,,T64,U23,Male,DS,,2/11/2018,TrackT64U23Male800 Meters,Track800 MetersT64,Track800 MetersT64U23Male
Track,800 Meters,03:50.0,04:02.0,,T64,U23,Female,DS,,2/11/2018,TrackT64U23Female800 Meters,Track800 MetersT64,Track800 MetersT64U23Female
Track,800 Meters,03:46.0,03:57.0,,T64,U20,Male,DS,,2/11/2018,TrackT64U20Male800 Meters,Track800 MetersT64,Track800 MetersT64U20Male
Track,800 Meters,04:13.0,04:26.0,,T64,U20,Female,DS,,2/11/2018,TrackT64U20Female800 Meters,Track800 MetersT64,Track800 MetersT64U20Female
Track,800 Meters,04:27.0,04:40.0,,T64,U17,Male,DS,,11/25/2018,TrackT64U17Male800 Meters,Track800 MetersT64,Track800 MetersT64U17Male
Track,800 Meters,04:59.0,05:14.0,,T64,U17,Female,DS,,2/11/2018,TrackT64U17Female800 Meters,Track800 MetersT64,Track800 MetersT64U17Female
Track,800 Meters,04:47.0,05:01.0,,T64,U14,Male,DS,,2/11/2018,TrackT64U14Male800 Meters,Track800 MetersT64,Track800 MetersT64U14Male
Track,800 Meters,05:22.0,05:38.0,,T64,U14,Female,DS,,2/11/2018,TrackT64U14Female800 Meters,Track800 MetersT64,Track800 MetersT64U14Female
Track,800 Meters,05:07.0,05:23.0,,T64,U11,Male,DS,,2/11/2018,TrackT64U11Male800 Meters,Track800 MetersT64,Track800 MetersT64U11Male
Track,800 Meters,05:45.0,06:02.0,,T64,U11,Female,DS,,2/11/2018,TrackT64U11Female800 Meters,Track800 MetersT64,Track800 MetersT64U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,M60,Male,DS,1/31/2012,2/11/2018,TrackT64M60Male800 Meters,Track800 MetersT64,Track800 MetersT64M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,M60,Female,DS,1/31/2012,2/11/2018,TrackT64M60Female800 Meters,Track800 MetersT64,Track800 MetersT64M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,M50,Male,DS,1/31/2012,2/11/2018,TrackT64M50Male800 Meters,Track800 MetersT64,Track800 MetersT64M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,M50,Female,DS,1/31/2012,2/11/2018,TrackT64M50Female800 Meters,Track800 MetersT64,Track800 MetersT64M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,M35,Male,DS,1/31/2012,2/11/2018,TrackT64M35Male800 Meters,Track800 MetersT64,Track800 MetersT64M35Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,M35,Female,DS,1/31/2012,2/11/2018,TrackT64M35Female800 Meters,Track800 MetersT64,Track800 MetersT64M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,Adults,Male,DS,1/31/2012,2/3/2012,TrackT64AdultsMale800 Meters,Track800 MetersT64,Track800 MetersT64AdultsMale
Track,800 Meters,00:00.0,00:00.0,NoSD,T64,Adults,Female,DS,1/31/2012,2/3/2012,TrackT64AdultsFemale800 Meters,Track800 MetersT64,Track800 MetersT64AdultsFemale
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U23,Male,DS,,2/11/2018,TrackT63U23Male800 Meters,Track800 MetersT63,Track800 MetersT63U23Male
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U23,Female,DS,,2/11/2018,TrackT63U23Female800 Meters,Track800 MetersT63,Track800 MetersT63U23Female
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U20,Male,DS,,2/11/2018,TrackT63U20Male800 Meters,Track800 MetersT63,Track800 MetersT63U20Male
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U20,Female,DS,,2/11/2018,TrackT63U20Female800 Meters,Track800 MetersT63,Track800 MetersT63U20Female
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U17,Male,DS,,11/25/2018,TrackT63U17Male800 Meters,Track800 MetersT63,Track800 MetersT63U17Male
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U17,Female,DS,,2/11/2018,TrackT63U17Female800 Meters,Track800 MetersT63,Track800 MetersT63U17Female
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U14,Male,DS,,2/11/2018,TrackT63U14Male800 Meters,Track800 MetersT63,Track800 MetersT63U14Male
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U14,Female,DS,,2/11/2018,TrackT63U14Female800 Meters,Track800 MetersT63,Track800 MetersT63U14Female
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U11,Male,DS,,2/11/2018,TrackT63U11Male800 Meters,Track800 MetersT63,Track800 MetersT63U11Male
Track,800 Meters,00:00.0,00:00.0,No Race,T63,U11,Female,DS,,2/11/2018,TrackT63U11Female800 Meters,Track800 MetersT63,Track800 MetersT63U11Female
Track,800 Meters,03:25.0,03:35.0,,T62,U23,Male,DS,,2/11/2018,TrackT62U23Male800 Meters,Track800 MetersT62,Track800 MetersT62U23Male
Track,800 Meters,03:50.0,04:02.0,,T62,U23,Female,DS,,2/11/2018,TrackT62U23Female800 Meters,Track800 MetersT62,Track800 MetersT62U23Female
Track,800 Meters,03:46.0,03:57.0,,T62,U20,Male,DS,,2/11/2018,TrackT62U20Male800 Meters,Track800 MetersT62,Track800 MetersT62U20Male
Track,800 Meters,04:13.0,04:26.0,,T62,U20,Female,DS,,2/11/2018,TrackT62U20Female800 Meters,Track800 MetersT62,Track800 MetersT62U20Female
Track,800 Meters,04:27.0,04:40.0,,T62,U17,Male,DS,,11/25/2018,TrackT62U17Male800 Meters,Track800 MetersT62,Track800 MetersT62U17Male
Track,800 Meters,04:59.0,05:14.0,,T62,U17,Female,DS,,2/11/2018,TrackT62U17Female800 Meters,Track800 MetersT62,Track800 MetersT62U17Female
Track,800 Meters,04:47.0,05:01.0,,T62,U14,Male,DS,,2/11/2018,TrackT62U14Male800 Meters,Track800 MetersT62,Track800 MetersT62U14Male
Track,800 Meters,05:22.0,05:38.0,,T62,U14,Female,DS,,2/11/2018,TrackT62U14Female800 Meters,Track800 MetersT62,Track800 MetersT62U14Female
Track,800 Meters,05:07.0,05:23.0,,T62,U11,Male,DS,,2/11/2018,TrackT62U11Male800 Meters,Track800 MetersT62,Track800 MetersT62U11Male
Track,800 Meters,05:45.0,06:02.0,,T62,U11,Female,DS,,2/11/2018,TrackT62U11Female800 Meters,Track800 MetersT62,Track800 MetersT62U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,M60,Male,DS,1/31/2012,2/11/2018,TrackT62M60Male800 Meters,Track800 MetersT62,Track800 MetersT62M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,M60,Female,DS,1/31/2012,2/11/2018,TrackT62M60Female800 Meters,Track800 MetersT62,Track800 MetersT62M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,M50,Male,DS,1/31/2012,2/11/2018,TrackT62M50Male800 Meters,Track800 MetersT62,Track800 MetersT62M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,M50,Female,DS,1/31/2012,2/11/2018,TrackT62M50Female800 Meters,Track800 MetersT62,Track800 MetersT62M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,M35,Male,DS,1/31/2012,2/11/2018,TrackT62M35Male800 Meters,Track800 MetersT62,Track800 MetersT62M35Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,M35,Female,DS,1/31/2012,2/11/2018,TrackT62M35Female800 Meters,Track800 MetersT62,Track800 MetersT62M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T62,Adults,Male,DS,1/31/2012,2/3/2012,TrackT62AdultsMale800 Meters,Track800 MetersT62,Track800 MetersT62AdultsMale
